strike,bid,ask,lastPrice,mid,volume,impliedVolatility,spot,expiry,trade_date,T,r
772.0,0.41,0.43,0.39,0.42,3.0,0.1439294592285156,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
773.0,0.35,0.37,0.38,0.36,9.0,0.14258669921875,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
774.0,0.33,0.34,0.26,0.335,3.0,0.1430749755859375,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
775.0,0.28,0.29,0.3,0.28500000000000003,13.0,0.14185428466796873,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
776.0,0.26,0.28,0.27,0.27,5.0,0.143563251953125,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
777.0,0.23,0.25,0.2,0.24,44.0,0.14331911376953127,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
778.0,0.2,0.21,0.21,0.20500000000000002,86.0,0.14185428466796873,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
779.0,0.17,0.19,0.16,0.18,28.0,0.1420984228515625,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
780.0,0.16,0.17,0.13,0.165,41.0,0.1420984228515625,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
781.0,0.15,0.16,0.11,0.155,4.0,0.14331911376953127,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
782.0,0.14,0.15,0.11,0.14500000000000002,29.0,0.14429566650390624,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
783.0,0.13,0.14,0.08,0.135,1.0,0.14527221923828126,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
784.0,0.11,0.13,0.09,0.12,1.0,0.14600463378906248,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
785.0,0.1,0.11,0.11,0.10500000000000001,9.0,0.1450280810546875,737.0499877929688,2026-06-26,2026-06-09,0.04657534246575343,0.045
